지역,일시,발전량,년,월,평균 기온,평균 이슬점온도,평균 상대습도,가조시간,합계 일조 시간,일강수량,평균 풍속,계절
강원도,2017-06-04,684110.5329999999,2017,6,17.864285714285714,6.514285714285714,53.85,14.657142857142857,12.214285714285714,0.9428571428571428,1.7142857142857142,여름
강원도,2017-06-05,718284.682,2017,6,18.3,8.992857142857144,59.68571428571429,14.664285714285713,12.35,0.0071428571428571,1.8142857142857145,여름
강원도,2017-06-06,269091.301,2017,6,16.307142857142857,10.85,73.17142857142858,14.671428571428567,0.5571428571428572,7.571428571428571,1.342857142857143,여름
강원도,2017-06-07,104388.582,2017,6,16.428571428571427,14.928571428571429,91.31428571428572,14.685714285714283,0.1928571428571428,6.807142857142857,1.4357142857142855,여름
강원도,2017-06-08,630707.766,2017,6,20.55,10.55714285714286,56.37857142857143,14.707142857142856,11.771428571428572,0.0,2.557142857142857,여름
강원도,2017-06-09,500287.789,2017,6,20.99285714285714,11.0,56.721428571428575,14.721428571428572,6.785714285714286,1.5,3.05,여름
강원도,2017-06-10,609716.108,2017,6,18.86428571428572,6.614285714285714,49.971428571428575,14.735714285714286,10.585714285714284,0.7214285714285715,1.85,여름
강원도,2017-06-11,703948.9419999999,2017,6,17.435714285714287,7.55,58.17142857142857,14.735714285714286,11.978571428571428,0.0,1.7714285714285716,여름
강원도,2017-06-12,585119.574,2017,6,17.285714285714285,9.12857142857143,63.285714285714285,14.757142857142856,8.957142857142857,0.0,1.907142857142857,여름
강원도,2017-06-13,465937.613,2017,6,16.907142857142855,11.62857142857143,73.83571428571429,14.757142857142856,7.428571428571429,4.621428571428572,1.542857142857143,여름
강원도,2017-06-14,570158.773,2017,6,20.228571428571428,11.757142857142856,61.971428571428575,14.764285714285714,10.021428571428572,0.0,1.7714285714285716,여름
강원도,2017-06-15,682701.88,2017,6,21.642857142857142,12.421428571428573,59.81428571428571,14.764285714285714,11.485714285714286,0.0,1.8357142857142856,여름
강원도,2017-06-16,649330.841,2017,6,21.071428571428573,13.685714285714283,66.60714285714286,14.771428571428572,10.242857142857144,0.0,1.6714285714285713,여름
강원도,2017-06-17,682200.098,2017,6,21.885714285714283,13.657142857142857,64.39285714285714,14.771428571428572,11.142857142857142,0.0,1.4785714285714284,여름
