,항공사,출발시간,도착시간,비행시간,항공금액(원),할인꿀팁,시간대,카드사
151,아시아나항공,13:25,14:30,01시간 05분,147000,삼성카드 결제시 3% 캐시백,13,삼성카드 
152,제주항공,13:30,14:40,01시간 10분,56900,"네이버페이 결제시 1%+1,500원 적립",13,네이버페이 
153,제주항공,13:30,14:40,01시간 10분,133500,삼성카드 결제시 3% 캐시백,13,삼성카드 
154,대한항공,13:35,14:45,01시간 10분,79000,삼성카드 결제시 3% 캐시백,13,삼성카드 
155,에어서울,13:50,14:55,01시간 05분,54900,KB국민카드 결제시 3% 청구할인,13,KB국민카드 
156,에어서울,13:50,14:55,01시간 05분,62900,KB국민카드 결제시 3% 청구할인,13,KB국민카드 
157,에어서울,13:50,14:55,01시간 05분,134000,삼성카드 결제시 3% 캐시백,13,삼성카드 
158,아시아나항공,13:55,15:05,01시간 10분,54000,"네이버페이 결제시 1%+1,500원 적립",13,네이버페이 
159,아시아나항공,13:55,15:05,01시간 10분,87000,삼성카드 결제시 3% 캐시백,13,삼성카드 
160,아시아나항공,13:55,15:05,01시간 10분,147000,삼성카드 결제시 3% 캐시백,13,삼성카드 
161,제주항공,14:05,15:15,01시간 10분,56900,"네이버페이 결제시 1%+1,500원 적립",14,네이버페이 
162,아시아나항공,14:05,15:10,01시간 05분,63000,"네이버페이 결제시 1%+1,500원 적립",14,네이버페이 
163,진에어,14:05,15:15,01시간 10분,64900,롯데카드 결제시 3.8% 캐시백,14,롯데카드 
164,아시아나항공,14:05,15:10,01시간 05분,87000,삼성카드 결제시 3% 캐시백,14,삼성카드 
165,제주항공,14:05,15:15,01시간 10분,133500,삼성카드 결제시 3% 캐시백,14,삼성카드 
166,진에어,14:05,15:15,01시간 10분,134000,삼성카드 결제시 3.8% 캐시백,14,삼성카드 
167,아시아나항공,14:05,15:10,01시간 05분,147000,삼성카드 결제시 3% 캐시백,14,삼성카드 
168,아시아나항공,14:05,15:10,01시간 05분,204000,삼성카드 결제시 3% 캐시백,14,삼성카드 
169,대한항공,14:10,15:20,01시간 10분,65000,삼성카드 결제시 3% 캐시백,14,삼성카드 
170,대한항공,14:10,15:20,01시간 10분,204000,삼성카드 결제시 3% 캐시백,14,삼성카드 
171,티웨이항공,14:20,15:35,01시간 15분,55900,하나 신용/체크카드 결제시 3% 캐시백,14,하나 신용/체크카드 
172,대한항공,14:20,15:30,01시간 10분,65000,삼성카드 결제시 3% 캐시백,14,삼성카드 
173,티웨이항공,14:20,15:35,01시간 15분,132200,KB국민카드 결제시 4% 청구할인,14,KB국민카드 
174,대한항공,14:20,15:30,01시간 10분,204000,삼성카드 결제시 3% 캐시백,14,삼성카드 
175,아시아나항공,14:25,15:30,01시간 05분,57000,"네이버페이 결제시 1%+1,500원 적립",14,네이버페이 
