,지역,일시,발전량,년,월,계절
392,강원도,2018-01-28,505142.625,2018,01,봄
393,강원도,2018-01-29,667563.989,2018,01,봄
394,강원도,2018-01-30,630609.28,2018,01,봄
395,강원도,2018-01-31,210126.405,2018,01,봄
396,강원도,2018-02-01,678447.698,2018,02,봄
397,강원도,2018-02-02,620094.662,2018,02,봄
398,강원도,2018-02-03,626942.052,2018,02,봄
399,강원도,2018-02-04,710817.562,2018,02,봄
400,강원도,2018-02-05,789764.586,2018,02,봄
401,강원도,2018-02-06,801348.4249999999,2018,02,봄
402,강원도,2018-02-07,750952.716,2018,02,봄
403,강원도,2018-02-08,701742.922,2018,02,봄
404,강원도,2018-02-09,409370.68799999997,2018,02,봄
405,강원도,2018-02-10,405256.968,2018,02,봄
406,강원도,2018-02-11,644881.466,2018,02,봄
407,강원도,2018-02-12,714929.484,2018,02,봄
408,강원도,2018-02-13,762495.4670000001,2018,02,봄
409,강원도,2018-02-14,267545.659,2018,02,봄
410,강원도,2018-02-15,773113.036,2018,02,봄
411,강원도,2018-02-16,735103.294,2018,02,봄
412,강원도,2018-02-17,867134.939,2018,02,봄
413,강원도,2018-02-18,552886.661,2018,02,봄
414,강원도,2018-02-19,538321.1,2018,02,봄
415,강원도,2018-02-20,675503.669,2018,02,봄
416,강원도,2018-02-21,723699.357,2018,02,봄
417,강원도,2018-02-22,633940.762,2018,02,봄
418,강원도,2018-02-23,349443.879,2018,02,봄
419,강원도,2018-02-24,540266.4569999999,2018,02,봄
420,강원도,2018-02-25,661825.145,2018,02,봄
421,강원도,2018-02-26,854215.099,2018,02,봄
422,강원도,2018-02-27,272836.621,2018,02,봄
423,강원도,2018-02-28,55837.833999999995,2018,02,봄
424,강원도,2018-03-01,647053.405,2018,03,봄
425,강원도,2018-03-02,851696.964,2018,03,봄
426,강원도,2018-03-03,859354.423,2018,03,봄
427,강원도,2018-03-04,335465.305,2018,03,봄
428,강원도,2018-03-05,284444.909,2018,03,봄
429,강원도,2018-03-06,798156.579,2018,03,봄
430,강원도,2018-03-07,445908.433,2018,03,봄
431,강원도,2018-03-08,203317.561,2018,03,봄
432,강원도,2018-03-09,449114.32899999997,2018,03,봄
433,강원도,2018-03-10,745576.919,2018,03,봄
434,강원도,2018-03-11,869963.765,2018,03,봄
435,강원도,2018-03-12,727989.1680000001,2018,03,봄
436,강원도,2018-03-13,762289.975,2018,03,봄
437,강원도,2018-03-14,658505.277,2018,03,봄
438,강원도,2018-03-15,117451.242,2018,03,봄
439,강원도,2018-03-16,632201.309,2018,03,봄
440,강원도,2018-03-17,893393.01,2018,03,봄
441,강원도,2018-03-18,292087.409,2018,03,봄
442,강원도,2018-03-19,156452.99,2018,03,봄
443,강원도,2018-03-20,498044.95900000003,2018,03,봄
444,강원도,2018-03-21,191198.903,2018,03,봄
445,강원도,2018-03-22,967353.953,2018,03,봄
446,강원도,2018-03-23,922769.0650000001,2018,03,봄
447,강원도,2018-03-24,779697.375,2018,03,봄
448,강원도,2018-03-25,913366.4049999999,2018,03,봄
449,강원도,2018-03-26,894894.994,2018,03,봄
450,강원도,2018-03-27,840744.233,2018,03,봄
451,강원도,2018-03-28,745364.701,2018,03,봄
452,강원도,2018-03-29,738394.82,2018,03,봄
453,강원도,2018-03-30,920761.344,2018,03,봄
454,강원도,2018-03-31,860081.405,2018,03,봄
455,강원도,2018-04-01,426039.686,2018,04,봄
456,강원도,2018-04-02,713711.088,2018,04,봄
457,강원도,2018-04-03,637208.272,2018,04,봄
458,강원도,2018-04-04,300105.422,2018,04,봄
459,강원도,2018-04-05,107734.317,2018,04,봄
460,강원도,2018-04-06,670364.372,2018,04,봄
461,강원도,2018-04-07,594218.271,2018,04,봄
462,강원도,2018-04-08,614848.451,2018,04,봄
463,강원도,2018-04-09,901031.422,2018,04,봄
464,강원도,2018-04-10,837211.003,2018,04,봄
465,강원도,2018-04-11,1070716.025,2018,04,봄
466,강원도,2018-04-12,1108937.134,2018,04,봄
467,강원도,2018-04-13,694666.943,2018,04,봄
468,강원도,2018-04-14,111231.092,2018,04,봄
469,강원도,2018-04-15,625191.778,2018,04,봄
470,강원도,2018-04-16,1087406.0690000001,2018,04,봄
471,강원도,2018-04-17,966858.678,2018,04,봄
472,강원도,2018-04-18,1084029.5320000001,2018,04,봄
473,강원도,2018-04-19,1003728.055,2018,04,봄
474,강원도,2018-04-20,1004734.742,2018,04,봄
475,강원도,2018-04-21,1063118.154,2018,04,봄
476,강원도,2018-04-22,582208.28,2018,04,봄
477,강원도,2018-04-23,91541.471,2018,04,봄
478,강원도,2018-04-24,307208.769,2018,04,봄
479,강원도,2018-04-25,1087286.066,2018,04,봄
480,강원도,2018-04-26,949528.671,2018,04,봄
481,강원도,2018-04-27,973811.535,2018,04,봄
482,강원도,2018-04-28,1074812.719,2018,04,봄
483,강원도,2018-04-29,1015740.4720000001,2018,04,봄
484,강원도,2018-04-30,938872.8859999999,2018,04,봄
485,강원도,2018-05-01,719854.625,2018,05,봄
486,강원도,2018-05-02,159192.508,2018,05,봄
487,강원도,2018-05-03,478800.424,2018,05,봄
488,강원도,2018-05-04,1090328.942,2018,05,봄
489,강원도,2018-05-05,910908.314,2018,05,봄
490,강원도,2018-05-06,248630.942,2018,05,봄
491,강원도,2018-05-07,585265.522,2018,05,봄
492,강원도,2018-05-08,625146.022,2018,05,봄
493,강원도,2018-05-09,831615.243,2018,05,봄
494,강원도,2018-05-10,1016243.442,2018,05,봄
495,강원도,2018-05-11,961572.38,2018,05,봄
496,강원도,2018-05-12,155694.041,2018,05,봄
497,강원도,2018-05-13,833495.107,2018,05,봄
498,강원도,2018-05-14,941462.8250000001,2018,05,봄
499,강원도,2018-05-15,912471.307,2018,05,봄
500,강원도,2018-05-16,108487.333,2018,05,봄
501,강원도,2018-05-17,188414.446,2018,05,봄
502,강원도,2018-05-18,141883.378,2018,05,봄
503,강원도,2018-05-19,978230.718,2018,05,봄
504,강원도,2018-05-20,724440.905,2018,05,봄
505,강원도,2018-05-21,1047033.026,2018,05,봄
506,강원도,2018-05-22,692746.527,2018,05,봄
507,강원도,2018-05-23,1189142.966,2018,05,봄
508,강원도,2018-05-24,1124824.148,2018,05,봄
509,강원도,2018-05-25,1074968.07,2018,05,봄
510,강원도,2018-05-26,1130734.994,2018,05,봄
511,강원도,2018-05-27,659158.613,2018,05,봄
512,강원도,2018-05-28,1020793.34,2018,05,봄
513,강원도,2018-05-29,694297.73,2018,05,봄
514,강원도,2018-05-30,771610.14,2018,05,봄
515,강원도,2018-05-31,1030121.736,2018,05,봄
516,강원도,2018-06-01,1074554.598,2018,06,봄
517,강원도,2018-06-02,1111708.2920000001,2018,06,봄
518,강원도,2018-06-03,1094118.702,2018,06,봄
519,강원도,2018-06-04,927959.542,2018,06,봄
520,강원도,2018-06-05,956245.205,2018,06,봄
521,강원도,2018-06-06,1072120.317,2018,06,봄
522,강원도,2018-06-07,1022009.614,2018,06,봄
523,강원도,2018-06-08,999148.432,2018,06,봄
524,강원도,2018-06-09,773280.281,2018,06,봄
525,강원도,2018-06-10,485396.994,2018,06,봄
526,강원도,2018-06-11,447633.152,2018,06,봄
